Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
CO_AgAu_211_bridge2-s-1    2.366    2.988    2.941    0.95    2.805    7.0    2    -3.514    1.131    2.084    14.99    4.854    8.401    1.807    9.79    1.114    2.235    0.053    0.268    
CO_AgAu_211_bridge2-s-2    2.373    2.988    2.941    0.95    2.805    7.0    2    -3.514    1.131    2.084    14.99    4.854    8.401    1.807    9.79    1.114    2.235    0.053    0.268    
CO_AgAu_211_bridge1-s-1    2.627    2.988    2.961    0.95    2.805    8.0    2    -3.575    1.195    2.121    14.583    4.854    8.401    1.807    9.775    1.157    2.235    0.061    0.248    
CO_AgAu_211_bridge1-s-4    2.565    2.99    2.945    1.01    3.35    8.0    2    -3.281    1.318    1.959    13.591    5.28    9.226    2.309    9.726    1.288    2.54    0.076    0.292    
CO_AgAu_211_top-s-1    2.311    2.985    2.958    0.89    2.26    7.0    1    -3.808    1.008    2.246    15.982    4.427    7.576    1.304    9.839    0.983    1.93    0.038    0.225    
CO_AgAu_211_top-s-2    2.3    2.99    2.924    1.01    3.35    7.0    1    -3.219    1.255    1.922    13.998    5.28    9.226    2.309    9.74    1.245    2.54    0.069    0.312    
CO_AgAu_211_bridge1-t-1    2.799    2.99    2.968    1.01    3.35    9.5    2    -3.404    1.398    1.966    12.688    5.28    9.226    2.309    9.705    1.353    2.54    0.085    0.263    
CO_AgAu_211_top-t-1    2.372    2.985    2.972    0.89    2.26    9.0    1    -3.886    1.151    2.299    15.338    4.427    7.576    1.304    9.809    1.093    1.93    0.046    0.221    
CO_AgAu_211_top-t-2    2.375    2.99    2.965    1.01    3.35    9.0    1    -3.342    1.382    1.996    13.185    5.28    9.226    2.309    9.711    1.331    2.54    0.084    0.271    
CO_AgPd_211_four-fold-s-1    1.568    2.902    2.88    0.915    2.52    8.5    4    -2.409    1.21    1.769    12.165    4.819    7.957    0.933    9.645    0.868    2.065    0.275    0.173    
CO_AgPd_211_four-fold-s-2    1.741    2.902    2.88    0.915    2.52    8.5    4    -2.409    1.21    1.769    12.165    4.819    7.957    0.933    9.645    0.868    2.065    0.275    0.173    
CO_AgPd_211_bridge1-s-4    1.139    2.819    2.853    0.94    2.78    8.0    2    -1.31    1.332    0.973    10.497    5.21    8.337    0.562    9.439    0.772    2.2    0.55    0.169    
CO_AgPd_211_top-s-1    2.251    2.985    2.892    0.89    2.26    7.0    1    -3.456    0.976    2.784    16.251    4.427    7.576    1.304    9.873    0.865    1.93    0.037    0.2    
CO_AgPd_211_top-s-2    1.341    2.819    2.84    0.94    2.78    7.0    1    -1.231    1.261    0.847    10.695    5.21    8.337    0.562    9.47    0.726    2.2    0.486    0.186    
CO_AgPd_211_bridge1-t-1    1.193    2.819    2.873    0.94    2.78    9.5    2    -1.408    1.429    1.097    10.104    5.21    8.337    0.562    9.401    0.839    2.2    0.566    0.156    
CO_AgPd_211_top-t-1    1.478    2.819    2.865    0.94    2.78    9.0    1    -1.39    1.404    1.099    10.299    5.21    8.337    0.562    9.409    0.818    2.2    0.614    0.152    
CO_AgPd_211_top-t-2    2.399    2.985    2.894    0.89    2.26    9.0    1    -3.508    1.097    2.385    12.429    4.427    7.576    1.304    9.85    0.977    1.93    0.049    0.168    
CO_Au_211_bridge2-s    2.253    2.99    2.936    1.01    3.35    7.0    2    -3.127    1.323    1.431    10.044    5.28    9.226    2.309    9.732    1.2    2.54    0.079    0.26    
CO_Au_211_fcc-s    2.633    2.99    2.967    1.01    3.35    8.333    3    -3.182    1.396    1.458    9.76    5.28    9.226    2.309    9.734    1.254    2.54    0.091    0.242    
CO_Au_211_bridge1-s    2.535    2.99    2.959    1.01    3.35    8.0    2    -3.168    1.377    1.451    9.828    5.28    9.226    2.309    9.734    1.24    2.54    0.088    0.247    
CO_Au_211_top-s    2.2    2.99    2.936    1.01    3.35    7.0    1    -3.127    1.323    1.43    10.044    5.28    9.226    2.309    9.736    1.201    2.54    0.079    0.26    
CO_Au_211_bridge2-t    2.576    2.99    2.982    1.01    3.35    9.0    2    -3.21    1.432    1.472    9.618    5.28    9.226    2.309    9.733    1.281    2.54    0.097    0.233    
CO_Au_211_bridge1-t    2.735    2.99    2.99    1.01    3.35    9.5    2    -3.264    1.449    1.473    9.383    5.28    9.226    2.309    9.72    1.297    2.54    0.098    0.223    
CO_Au_211_top-t    2.451    2.99    2.982    1.01    3.35    9.0    1    -3.21    1.433    1.474    9.625    5.28    9.226    2.309    9.726    1.281    2.54    0.097    0.233    
CO_Cu_211_bridge3-s    2.149    2.603    2.577    0.67    1.0    8.5    2    -2.372    1.044    1.709    14.199    4.719    7.726    1.236    9.719    1.209    1.9    0.097    0.244    
CO_Cu_211_bridge2-s    1.856    2.603    2.556    0.67    1.0    7.0    2    -2.282    0.955    1.452    13.621    4.719    7.726    1.236    9.722    1.129    1.9    0.09    0.264    
CO_Cu_211_fcc-s    2.036    2.603    2.573    0.67    1.0    8.333    3    -2.355    1.063    1.935    15.964    4.719    7.726    1.236    9.692    1.202    1.9    0.1    0.247    
CO_Cu_211_bridge1-s    2.058    2.603    2.569    0.67    1.0    8.0    2    -2.337    1.036    1.813    15.368    4.719    7.726    1.236    9.703    1.184    1.9    0.098    0.252    
CO_Cu_211_top-s    1.783    2.603    2.556    0.67    1.0    7.0    1    -2.283    0.955    1.454    13.628    4.719    7.726    1.236    9.717    1.129    1.9    0.09    0.264    
CO_Cu_211_bridge2-t    2.086    2.603    2.581    0.67    1.0    9.0    2    -2.391    1.117    2.175    17.132    4.719    7.726    1.236    9.68    1.239    1.9    0.105    0.239    
CO_Cu_211_fcc-t    2.27    2.603    2.593    0.67    1.0    9.667    3    -2.439    1.127    2.038    15.569    4.719    7.726    1.236    9.697    1.272    1.9    0.104    0.229    
CO_Cu_211_top-t    2.039    2.603    2.581    0.67    1.0    9.0    1    -2.39    1.117    2.175    17.144    4.719    7.726    1.236    9.681    1.238    1.9    0.105    0.239    
CO_Ag@Cu_211_bridge3-s-2    2.181    2.603    2.575    0.67    1.0    8.5    2    -2.394    1.056    1.596    13.849    4.719    7.726    1.236    9.764    1.23    1.9    0.097    0.257    
CO_Ag@Cu_211_bridge2-s-2    1.84    2.603    2.552    0.67    1.0    7.0    2    -2.316    0.977    1.235    12.981    4.719    7.726    1.236    9.796    1.173    1.9    0.089    0.29    
CO_Ag@Cu_211_fcc-s-2    2.044    2.603    2.576    0.67    1.0    8.333    3    -2.375    1.035    1.481    13.354    4.719    7.726    1.236    9.756    1.219    1.9    0.099    0.262    
CO_Ag@Cu_211_bridge1-s-2    2.085    2.603    2.578    0.67    1.0    8.0    2    -2.358    0.999    1.243    12.338    4.719    7.726    1.236    9.758    1.211    1.9    0.096    0.271    
CO_Ag@Cu_211_bridge1-s-3    2.069    2.603    2.563    0.67    1.0    8.0    2    -2.364    1.043    1.596    14.183    4.719    7.726    1.236    9.774    1.204    1.9    0.097    0.266    
CO_Ag@Cu_211_top-s-1    2.265    2.985    2.95    0.89    2.26    9.0    1    -4.141    1.131    3.339    20.245    4.427    7.576    1.304    9.785    0.887    1.93    0.043    0.259    
CO_Ag@Cu_211_top-s-2    1.818    2.603    2.552    0.67    1.0    7.0    1    -2.316    0.977    1.235    12.981    4.719    7.726    1.236    9.796    1.173    1.9    0.089    0.29    
CO_Ag@Cu_211_bridge2-t-1    2.121    2.603    2.603    0.67    1.0    9.0    2    -2.399    1.02    1.251    11.696    4.719    7.726    1.236    9.719    1.248    1.9    0.104    0.253    
CO_Ag@Cu_211_bridge2-t-2    2.09    2.603    2.588    0.67    1.0    9.0    2    -2.405    1.064    1.604    13.541    4.719    7.726    1.236    9.735    1.242    1.9    0.105    0.248    
CO_Ag@Cu_211_fcc-t-2    2.274    2.603    2.589    0.67    1.0    9.667    3    -2.452    1.126    1.956    14.94    4.719    7.726    1.236    9.739    1.269    1.9    0.106    0.23    
CO_Ag@Cu_211_top-t-1    2.045    2.603    2.603    0.67    1.0    9.0    1    -2.399    1.02    1.251    11.696    4.719    7.726    1.236    9.719    1.248    1.9    0.104    0.253    
CO_Ag@Cu_211_top-t-2    2.047    2.603    2.573    0.67    1.0    9.0    1    -2.411    1.108    1.956    15.386    4.719    7.726    1.236    9.752    1.236    1.9    0.106    0.243    
CO_Ir_211_bridge3-s    0.875    2.753    2.727    1.08    4.45    8.5    2    -1.848    2.58    0.707    4.787    5.489    9.121    1.564    7.754    1.273    2.2    1.437    0.178    
CO_Ir_211_bridge2-s    0.634    2.753    2.699    1.08    4.45    7.0    2    -1.706    2.442    0.66    4.932    5.489    9.121    1.564    7.8    1.214    2.2    1.538    0.258    
CO_Ir_211_top-s    0.347    2.753    2.699    1.08    4.45    7.0    1    -1.703    2.45    0.68    5.016    5.489    9.121    1.564    7.799    1.214    2.2    1.537    0.258    
CO_Ir_211_bridge2-t    1.234    2.753    2.715    1.08    4.45    9.0    2    -2.027    2.683    0.694    4.35    5.489    9.121    1.564    7.682    1.31    2.2    1.263    0.122    
CO_Ir_211_bridge1-t    1.234    2.753    2.735    1.08    4.45    9.5    2    -2.007    2.705    0.734    4.539    5.489    9.121    1.564    7.695    1.32    2.2    1.299    0.11    
CO_Ir_211_fcc-t    1.413    2.753    2.741    1.08    4.45    9.667    3    -2.0    2.712    0.747    4.601    5.489    9.121    1.564    7.699    1.323    2.2    1.311    0.106    
CO_Ir_211_hcp-t    1.221    2.753    2.728    1.08    4.45    9.333    3    -2.013    2.697    0.721    4.475    5.489    9.121    1.564    7.69    1.316    2.2    1.287    0.114    
CO_Ir_211_top-t    0.791    2.753    2.715    1.08    4.45    9.0    1    -2.027    2.683    0.694    4.35    5.489    9.121    1.564    7.68    1.31    2.2    1.263    0.122    
CO_Pd@Ir_211_bridge3-s-1    1.16    2.786    2.769    1.01    3.615    8.5    2    -2.044    2.161    0.663    5.349    5.35    8.729    1.063    8.458    1.072    2.2    1.035    0.14    
CO_Pd@Ir_211_bridge3-s-2    0.865    2.753    2.723    1.08    4.45    8.5    2    -1.863    2.581    0.738    4.898    5.489    9.121    1.564    7.743    1.265    2.2    1.479    0.182    
CO_Pd@Ir_211_bridge2-s-2    0.584    2.753    2.692    1.08    4.45    7.0    2    -1.717    2.428    0.704    5.109    5.489    9.121    1.564    7.798    1.203    2.2    1.659    0.262    
CO_Pd@Ir_211_hcp-s-1    0.934    2.775    2.736    1.033    3.893    7.667    3    -1.923    2.212    0.653    5.202    5.396    8.86    1.23    8.232    1.109    2.2    1.243    0.192    
CO_Pd@Ir_211_hcp-s-2    1.015    2.753    2.697    1.08    4.45    7.667    3    -1.806    2.55    0.765    5.155    5.489    9.121    1.564    7.751    1.234    2.2    1.542    0.215    
CO_Pd@Ir_211_bridge1-s-2    0.947    2.753    2.709    1.08    4.45    8.0    2    -1.828    2.519    0.704    4.827    5.489    9.121    1.564    7.745    1.248    2.2    1.516    0.202    
CO_Pd@Ir_211_bridge1-s-3    1.116    2.753    2.7    1.08    4.45    8.0    2    -1.851    2.611    0.796    5.179    5.489    9.121    1.564    7.727    1.25    2.2    1.483    0.191    
CO_Pd@Ir_211_top-s-1    1.413    2.819    2.792    0.94    2.78    7.0    1    -2.114    1.598    0.552    5.952    5.21    8.337    0.562    9.205    0.831    2.2    0.699    0.173    
CO_Pd@Ir_211_top-s-2    0.363    2.753    2.692    1.08    4.45    7.0    1    -1.717    2.428    0.704    5.109    5.489    9.121    1.564    7.798    1.203    2.2    1.659    0.262    
CO_Pd@Ir_211_bridge1-t-1    1.189    2.753    2.735    1.08    4.45    9.5    2    -1.956    2.667    0.739    4.645    5.489    9.121    1.564    7.7    1.302    2.2    1.372    0.125    
CO_Pd@Ir_211_bridge1-t-2    1.221    2.753    2.739    1.08    4.45    9.5    2    -1.975    2.671    0.738    4.615    5.489    9.121    1.564    7.689    1.31    2.2    1.336    0.122    
CO_Pd@Ir_211_bridge1-t-3    1.224    2.753    2.731    1.08    4.45    9.5    2    -1.998    2.763    0.83    4.967    5.489    9.121    1.564    7.672    1.312    2.2    1.303    0.111    
CO_Pd@Ir_211_bridge2-t-1    1.04    2.753    2.725    1.08    4.45    9.0    2    -1.939    2.61    0.703    4.544    5.489    9.121    1.564    7.691    1.293    2.2    1.372    0.142    
CO_Pd@Ir_211_bridge2-t-2    1.185    2.753    2.717    1.08    4.45    9.0    2    -1.963    2.702    0.795    4.896    5.489    9.121    1.564    7.673    1.294    2.2    1.339    0.131    
CO_Pd@Ir_211_fcc-t-1    1.38    2.753    2.741    1.08    4.45    9.667    3    -1.974    2.689    0.75    4.659    5.489    9.121    1.564    7.696    1.311    2.2    1.347    0.117    
CO_Pd@Ir_211_fcc-t-2    1.425    2.753    2.738    1.08    4.45    9.667    3    -2.002    2.753    0.81    4.873    5.489    9.121    1.564    7.677    1.317    2.2    1.302    0.108    
CO_Pd@Ir_211_hcp-t-1    1.081    2.753    2.732    1.08    4.45    9.333    3    -1.95    2.648    0.727    4.612    5.489    9.121    1.564    7.697    1.299    2.2    1.372    0.13    
CO_Pd@Ir_211_hcp-t-2    1.217    2.753    2.729    1.08    4.45    9.333    3    -1.978    2.712    0.788    4.826    5.489    9.121    1.564    7.678    1.305    2.2    1.326    0.121    
CO_Pd@Ir_211_top2-t-1    1.163    2.753    2.746    1.08    4.45    10.0    1    -1.973    2.724    0.775    4.746    5.489    9.121    1.564    7.71    1.312    2.2    1.371    0.107    
CO_Pd@Ir_211_top-t-1    0.696    2.753    2.725    1.08    4.45    9.0    1    -1.939    2.61    0.703    4.544    5.489    9.121    1.564    7.691    1.293    2.2    1.372    0.142    
CO_Pd@Ir_211_top-t-2    0.766    2.753    2.708    1.08    4.45    9.0    1    -1.986    2.793    0.887    5.248    5.489    9.121    1.564    7.656    1.296    2.2    1.307    0.12    
CO_IrRu_211_bridge3-s-2    0.946    2.743    2.712    1.065    4.16    8.5    2    -1.583    2.36    0.646    4.781    5.189    8.241    1.305    7.342    1.073    2.2    1.538    0.192    
CO_IrRu_211_hcp-s-1    0.849    2.746    2.694    1.07    4.257    7.667    3    -1.614    2.327    0.712    4.987    5.289    8.534    1.391    7.472    1.087    2.2    1.643    0.272    
CO_IrRu_211_bridge1-s-3    1.048    2.743    2.699    1.065    4.16    8.0    2    -1.576    2.345    0.654    4.863    5.189    8.241    1.305    7.342    1.06    2.2    1.671    0.213    
CO_IrRu_211_top-s-1    0.357    2.753    2.685    1.08    4.45    7.0    1    -1.69    2.292    0.829    5.236    5.489    9.121    1.564    7.731    1.141    2.2    1.587    0.389    
CO_IrRu_211_top-s-2    0.753    2.732    2.694    1.05    3.87    7.0    1    -1.203    2.137    0.362    4.595    4.889    7.361    1.046    7.066    0.87    2.2    2.026    0.254    
CO_IrRu_211_bridge1-t-3    1.092    2.753    2.717    1.08    4.45    9.5    2    -1.956    2.568    0.939    5.05    5.489    9.121    1.564    7.618    1.264    2.2    1.183    0.151    
CO_IrRu_211_bridge1-t-4    1.137    2.743    2.718    1.065    4.16    9.5    2    -1.703    2.475    0.67    4.502    5.189    8.241    1.305    7.319    1.12    2.2    1.407    0.128    
CO_IrRu_211_bridge2-t-2    1.067    2.743    2.704    1.065    4.16    9.0    2    -1.695    2.46    0.678    4.584    5.189    8.241    1.305    7.319    1.106    2.2    1.54    0.149    
CO_IrRu_211_hcp-t-1    1.008    2.739    2.716    1.06    4.063    9.333    3    -1.603    2.444    0.593    4.399    5.089    7.948    1.219    7.23    1.072    2.2    1.521    0.133    
CO_IrRu_211_hcp-t-2    1.031    2.746    2.713    1.07    4.257    9.333    3    -1.785    2.501    0.762    4.712    5.289    8.534    1.391    7.419    1.163    2.2    1.377    0.143    
CO_IrRu_211_top-t-1    0.901    2.732    2.705    1.05    3.87    9.0    1    -1.442    2.367    0.409    4.037    4.889    7.361    1.046    7.019    0.962    2.2    1.764    0.125    
CO_IrRu_211_top-t-2    0.734    2.753    2.703    1.08    4.45    9.0    1    -1.949    2.553    0.947    5.131    5.489    9.121    1.564    7.618    1.251    2.2    1.316    0.172    
CO_Ni_211_four-fold-s    1.092    2.502    2.484    0.71    1.16    8.5    4    -1.225    1.768    2.678    17.369    4.945    7.64    1.157    8.817    1.232    1.91    1.796    0.169    
CO_Ni_211_bridge3-s    1.041    2.502    2.484    0.71    1.16    8.5    2    -1.231    1.769    2.678    17.366    4.945    7.64    1.157    8.821    1.232    1.91    1.786    0.169    
CO_Ni_211_bridge2-s    0.773    2.502    2.464    0.71    1.16    7.0    2    -1.158    1.645    2.703    18.313    4.945    7.64    1.157    8.86    1.141    1.91    1.873    0.218    
CO_Ni_211_fcc-s    0.879    2.502    2.476    0.71    1.16    8.333    3    -1.236    1.755    2.642    17.151    4.945    7.64    1.157    8.821    1.231    1.91    1.903    0.169    
CO_Ni_211_hcp-s    0.772    2.502    2.47    0.71    1.16    7.667    3    -1.2    1.701    2.672    17.722    4.945    7.64    1.157    8.842    1.186    1.91    1.883    0.194    
CO_Ni_211_bridge1-s    0.936    2.502    2.473    0.71    1.16    8.0    2    -1.224    1.729    2.657    17.424    4.945    7.64    1.157    8.833    1.21    1.91    1.88    0.182    
CO_Ni_211_top-s    0.911    2.502    2.464    0.71    1.16    7.0    1    -1.152    1.645    2.703    18.317    4.945    7.64    1.157    8.858    1.14    1.91    1.888    0.218    
CO_Ni_211_bridge2-t    0.972    2.502    2.482    0.71    1.16    9.0    2    -1.277    1.81    2.612    16.567    4.945    7.64    1.157    8.802    1.277    1.91    1.91    0.145    
CO_Ni_211_fcc-t    1.072    2.502    2.496    0.71    1.16    9.667    3    -1.29    1.865    2.639    16.464    4.945    7.64    1.157    8.784    1.308    1.91    1.78    0.128    
CO_Ni_211_hcp-t    0.908    2.502    2.489    0.71    1.16    9.333    3    -1.28    1.837    2.625    16.521    4.945    7.64    1.157    8.791    1.292    1.91    1.847    0.136    
CO_Ni_211_top-t    1.151    2.502    2.482    0.71    1.16    9.0    1    -1.27    1.809    2.613    16.595    4.945    7.64    1.157    8.801    1.275    1.91    1.917    0.145    
CO_Au@Ni_211_four-fold-s-2    1.116    2.502    2.482    0.71    1.16    8.5    4    -1.225    1.788    2.567    16.833    4.945    7.64    1.157    8.741    1.246    1.91    1.953    0.164    
CO_Au@Ni_211_bridge2-s-2    0.771    2.502    2.465    0.71    1.16    7.0    2    -1.149    1.674    2.475    17.257    4.945    7.64    1.157    8.768    1.173    1.91    2.065    0.214    
CO_Au@Ni_211_fcc-s-2    0.907    2.502    2.483    0.71    1.16    8.333    3    -1.218    1.763    2.529    16.689    4.945    7.64    1.157    8.723    1.235    1.91    1.988    0.167    
CO_Au@Ni_211_hcp-s-2    0.804    2.502    2.468    0.71    1.16    7.667    3    -1.193    1.726    2.512    16.91    4.945    7.64    1.157    8.746    1.206    1.91    2.012    0.19    
CO_Au@Ni_211_bridge1-s-3    0.962    2.502    2.469    0.71    1.16    8.0    2    -1.214    1.751    2.529    16.736    4.945    7.64    1.157    8.74    1.223    1.91    1.989    0.179    
CO_Au@Ni_211_top-s-2    0.985    2.502    2.465    0.71    1.16    7.0    1    -1.151    1.674    2.477    17.258    4.945    7.64    1.157    8.759    1.173    1.91    2.059    0.214    
CO_Au@Ni_211_bridge2-t-2    0.978    2.502    2.492    0.71    1.16    9.0    2    -1.251    1.808    2.556    16.404    4.945    7.64    1.157    8.705    1.267    1.91    1.952    0.144    
CO_Au@Ni_211_fcc-t-2    1.115    2.502    2.491    0.71    1.16    9.667    3    -1.294    1.878    2.634    16.344    4.945    7.64    1.157    8.711    1.304    1.91    1.864    0.124    
CO_Au@Ni_211_hcp-t-1    1.1    2.502    2.511    0.71    1.16    9.333    3    -1.235    1.826    2.533    16.381    4.945    7.64    1.157    8.689    1.283    1.91    1.907    0.137    
CO_Au@Ni_211_hcp-t-2    0.926    2.502    2.495    0.71    1.16    9.333    3    -1.268    1.839    2.59    16.407    4.945    7.64    1.157    8.709    1.284    1.91    1.915    0.134    
CO_Au@Ni_211_top-t-1    1.221    2.502    2.511    0.71    1.16    9.0    1    -1.219    1.787    2.525    16.575    4.945    7.64    1.157    8.693    1.261    1.91    2.003    0.145    
CO_Au@Ni_211_top-t-2    1.156    2.502    2.473    0.71    1.16    9.0    1    -1.281    1.83    2.584    16.216    4.945    7.64    1.157    8.704    1.273    1.91    1.907    0.143    
CO_Pd_211_bridge3-s    1.044    2.819    2.808    0.94    2.78    8.5    2    -1.625    1.337    0.687    5.511    5.21    8.337    0.562    9.294    0.75    2.2    2.128    0.13    
CO_Pd_211_bridge2-s    0.854    2.819    2.79    0.94    2.78    7.0    2    -1.5    1.244    0.602    5.726    5.21    8.337    0.562    9.334    0.682    2.2    2.15    0.15    
CO_Pd_211_fcc-s    0.859    2.819    2.803    0.94    2.78    8.333    3    -1.59    1.329    0.592    5.089    5.21    8.337    0.562    9.303    0.743    2.2    2.269    0.133    
CO_Pd_211_hcp-s    0.832    2.819    2.796    0.94    2.78    7.667    3    -1.545    1.287    0.597    5.407    5.21    8.337    0.562    9.319    0.712    2.2    2.211    0.141    
CO_Pd_211_bridge1-s    1.016    2.819    2.799    0.94    2.78    8.0    2    -1.567    1.308    0.594    5.247    5.21    8.337    0.562    9.312    0.727    2.2    2.244    0.137    
CO_Pd_211_top-s    1.234    2.819    2.79    0.94    2.78    7.0    1    -1.501    1.244    0.602    5.728    5.21    8.337    0.562    9.334    0.683    2.2    2.147    0.15    
CO_Pd_211_bridge2-t    0.97    2.819    2.809    0.94    2.78    9.0    2    -1.635    1.372    0.587    4.77    5.21    8.337    0.562    9.288    0.773    2.2    2.33    0.125    
CO_Pd_211_fcc-t    0.99    2.819    2.82    0.94    2.78    9.667    3    -1.715    1.405    0.682    4.968    5.21    8.337    0.562    9.265    0.804    2.2    2.178    0.115    
CO_Pd_211_hcp-t    0.847    2.819    2.814    0.94    2.78    9.333    3    -1.677    1.386    0.62    4.792    5.21    8.337    0.562    9.276    0.789    2.2    2.252    0.12    
CO_Pd_211_top-t    1.346    2.819    2.809    0.94    2.78    9.0    1    -1.635    1.372    0.587    4.769    5.21    8.337    0.562    9.286    0.773    2.2    2.325    0.125    
CO_Pt_211_bridge3-s    1.058    2.838    2.817    1.04    3.9    8.5    2    -1.996    1.985    0.83    5.643    5.75    8.959    2.125    8.807    1.164    2.28    1.596    0.135    
CO_Pt_211_bridge2-s    0.784    2.838    2.781    1.04    3.9    7.0    2    -1.895    1.891    0.786    5.804    5.75    8.959    2.125    8.812    1.101    2.28    1.72    0.176    
CO_Pt_211_fcc-s    1.115    2.838    2.807    1.04    3.9    8.333    3    -1.989    2.003    0.825    5.621    5.75    8.959    2.125    8.786    1.167    2.28    1.766    0.145    
CO_Pt_211_hcp-s    1.039    2.838    2.794    1.04    3.9    7.667    3    -1.942    1.947    0.805    5.711    5.75    8.959    2.125    8.8    1.133    2.28    1.742    0.16    
CO_Pt_211_bridge1-s    1.089    2.838    2.801    1.04    3.9    8.0    2    -1.966    1.975    0.815    5.664    5.75    8.959    2.125    8.792    1.149    2.28    1.753    0.153    
CO_Pt_211_top-s    0.844    2.838    2.781    1.04    3.9    7.0    1    -1.894    1.89    0.785    5.806    5.75    8.959    2.125    8.815    1.102    2.28    1.72    0.176    
CO_Pt_211_bridge2-t    1.098    2.838    2.82    1.04    3.9    9.0    2    -2.037    2.06    0.845    5.528    5.75    8.959    2.125    8.772    1.199    2.28    1.789    0.129    
CO_Pt_211_bridge1-t    1.225    2.838    2.836    1.04    3.9    9.5    2    -2.067    2.069    0.859    5.505    5.75    8.959    2.125    8.789    1.213    2.28    1.631    0.112    
CO_Pt_211_fcc-t    1.324    2.838    2.842    1.04    3.9    9.667    3    -2.076    2.073    0.864    5.498    5.75    8.959    2.125    8.792    1.219    2.28    1.579    0.106    
CO_Pt_211_hcp-t    1.152    2.838    2.831    1.04    3.9    9.333    3    -2.056    2.066    0.854    5.513    5.75    8.959    2.125    8.78    1.21    2.28    1.684    0.118    
CO_Pt_211_top-t    1.145    2.838    2.82    1.04    3.9    9.0    1    -2.037    2.06    0.845    5.53    5.75    8.959    2.125    8.769    1.2    2.28    1.789    0.129    
CO_PtRh_211_bridge3-s-1    1.013    2.786    2.762    1.015    3.61    8.5    2    -1.758    2.129    1.414    8.547    5.414    8.209    1.634    8.359    1.12    2.28    1.853    0.151    
CO_PtRh_211_bridge3-s-2    0.936    2.786    2.769    1.015    3.61    8.5    2    -1.688    2.128    1.408    8.601    5.414    8.209    1.634    8.361    1.151    2.28    1.78    0.161    
CO_PtRh_211_bridge2-s-1    0.782    2.786    2.739    1.015    3.61    7.0    2    -1.617    1.974    1.3    8.401    5.414    8.209    1.634    8.421    1.065    2.28    1.865    0.212    
CO_PtRh_211_bridge2-s-2    0.725    2.786    2.739    1.015    3.61    7.0    2    -1.617    1.974    1.3    8.401    5.414    8.209    1.634    8.421    1.065    2.28    1.865    0.212    
CO_PtRh_211_fcc-s-2    0.98    2.769    2.75    1.007    3.513    8.333    3    -1.619    2.166    1.432    8.879    5.302    7.959    1.47    8.23    1.143    2.28    2.133    0.16    
CO_PtRh_211_hcp-s-1    0.911    2.769    2.744    1.007    3.513    7.667    3    -1.549    2.078    1.371    8.771    5.302    7.959    1.47    8.258    1.115    2.28    2.082    0.188    
CO_PtRh_211_bridge1-s-3    1.008    2.786    2.749    1.015    3.61    8.0    2    -1.722    2.106    1.39    8.563    5.414    8.209    1.634    8.378    1.108    2.28    1.942    0.17    
CO_PtRh_211_bridge1-s-4    0.954    2.734    2.741    0.99    3.32    8.0    2    -1.325    2.173    1.446    9.483    5.078    7.459    1.143    7.982    1.156    2.28    2.437    0.176    
CO_PtRh_211_top-s-1    0.838    2.838    2.75    1.04    3.9    7.0    1    -1.997    1.89    1.222    7.346    5.75    8.959    2.125    8.812    1.033    2.28    1.371    0.211    
CO_PtRh_211_top-s-2    0.738    2.734    2.728    0.99    3.32    7.0    1    -1.238    2.059    1.378    9.455    5.078    7.459    1.143    8.03    1.097    2.28    2.359    0.213    
CO_PtRh_211_bridge1-t-1    0.959    2.734    2.77    0.99    3.32    9.5    2    -1.395    2.326    1.555    9.684    5.078    7.459    1.143    7.922    1.241    2.28    2.352    0.126    
CO_PtRh_211_bridge1-t-3    1.348    2.838    2.783    1.04    3.9    9.5    2    -2.243    2.176    1.426    7.656    5.75    8.959    2.125    8.707    1.13    2.28    1.436    0.109    
CO_PtRh_211_bridge1-t-4    1.147    2.786    2.775    1.015    3.61    9.5    2    -1.845    2.243    1.482    8.575    5.414    8.209    1.634    8.311    1.178    2.28    1.931    0.115    
CO_PtRh_211_bridge2-t-1    1.082    2.786    2.761    1.015    3.61    9.0    2    -1.809    2.22    1.459    8.591    5.414    8.209    1.634    8.33    1.166    2.28    2.02    0.134    
CO_PtRh_211_bridge2-t-2    1.025    2.786    2.761    1.015    3.61    9.0    2    -1.809    2.22    1.459    8.591    5.414    8.209    1.634    8.33    1.166    2.28    2.02    0.134    
CO_PtRh_211_hcp-t-1    0.947    2.769    2.77    1.007    3.513    9.333    3    -1.666    2.268    1.504    9.013    5.302    7.959    1.47    8.19    1.2    2.28    2.076    0.126    
CO_PtRh_211_top-t-1    1.234    2.838    2.77    1.04    3.9    9.0    1    -2.207    2.154    1.403    7.672    5.75    8.959    2.125    8.727    1.118    2.28    1.525    0.128    
CO_PtRh_211_top-t-2    0.825    2.734    2.753    0.99    3.32    9.0    1    -1.411    2.286    1.514    9.511    5.078    7.459    1.143    7.933    1.214    2.28    2.515    0.14    
CO_Rh_211_bridge3-s    0.879    2.734    2.714    0.99    3.32    8.5    2    -1.395    2.275    1.931    11.244    5.078    7.459    1.143    7.907    1.066    2.28    1.921    0.173    
